/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.6/cv2/conv/Conv,/model.7/conv/Conv,output0
0,1,1,1,1,1,0,0,0,1,0,1,0.0009529290837235749
1,1,1,1,0,0,1,1,1,0,1,1,0.004370078910142183
1,0,0,1,0,1,0,1,1,0,0,1,0.004343961365520954
0,1,0,0,0,0,0,0,1,1,0,1,0.0008647485519759357
0,0,0,0,0,0,0,1,0,0,0,1,0.0006099341553635895
1,1,0,1,1,0,0,0,1,0,0,1,0.0043336995877325535
1,1,1,0,0,0,1,0,0,0,0,0,0.004319022409617901
1,0,0,1,0,0,0,1,0,0,0,1,0.004321740474551916
1,1,0,1,1,1,1,0,1,0,1,0,0.004353614058345556
0,0,1,1,0,0,1,1,1,1,1,0,0.0011804013047367334
1,1,1,1,1,0,1,0,0,1,0,0,0.00432340195402503
0,1,0,1,0,1,0,0,1,1,1,1,0.0010350645752623677
0,1,0,1,0,0,0,1,1,0,0,0,0.0010067347902804613
0,1,1,1,0,1,1,1,0,0,0,0,0.0010165685089305043
1,0,0,0,0,0,0,0,0,0,0,1,0.004294446669518948
1,1,0,1,0,0,0,1,1,0,1,0,0.0044142636470496655
1,0,0,0,0,0,0,0,1,0,0,1,0.004293987061828375
1,0,1,0,0,1,1,0,1,0,0,1,0.004280774854123592
1,1,0,1,0,1,1,1,1,0,1,0,0.0043970015831291676
1,1,1,0,1,0,1,0,0,0,1,0,0.004306836519390345
1,1,0,0,1,0,0,1,1,0,0,1,0.004309504292905331
0,0,1,1,0,0,1,1,0,1,0,1,0.0009094274719245732
0,1,0,1,0,0,1,0,0,0,0,1,0.00087325758067891
1,1,1,0,1,1,1,1,0,1,1,0,0.004330114461481571
1,1,0,0,0,1,1,1,1,1,1,0,0.004362907260656357
1,1,0,0,0,1,1,1,1,1,1,1,0.0043362826108932495
0,1,0,1,1,1,1,0,1,0,0,0,0.0011510113254189491
1,1,1,0,0,0,0,0,0,1,0,0,0.0043302541598677635
0,1,1,0,1,1,0,1,0,1,1,1,0.0012438137782737613
0,0,1,1,0,1,1,1,1,0,0,1,0.0009829089976847172
0,0,1,0,1,0,1,1,1,0,0,0,0.0010302664013579488
0,0,0,0,1,1,0,0,0,1,0,0,0.0005132668884471059
1,0,1,1,0,1,1,1,1,1,0,1,0.004331170581281185
0,1,0,1,0,0,1,1,1,0,1,1,0.0012919396394863725
0,1,0,0,1,0,0,0,0,1,0,1,0.0008389530703425407
0,1,1,1,0,0,1,1,1,1,1,0,0.0012911518570035696
1,0,0,1,0,1,0,0,0,1,0,1,0.0043265847489237785
0,1,0,0,1,0,1,0,1,0,1,0,0.0012136048171669245
1,1,0,1,1,0,0,0,0,0,1,1,0.004326074384152889
0,0,1,1,1,1,0,1,0,1,0,1,0.0008636874263174832
0,0,0,1,1,0,1,1,1,0,0,1,0.0010230178013443947
0,0,0,0,1,0,1,0,0,0,0,1,0.0007620802498422563
0,0,1,0,0,1,0,0,0,0,0,0,0.000401106575736776
1,1,1,1,1,0,1,1,1,1,0,0,0.004356372635811567
1,0,1,0,1,1,0,1,0,1,0,1,0.004290477372705936
0,1,1,1,1,1,1,0,0,0,0,0,0.0009874759707599878
0,1,0,0,1,0,1,1,0,0,0,0,0.0010511231375858188
1,1,0,0,0,0,1,0,0,1,1,1,0.004301882814615965
1,1,0,1,0,0,1,1,0,0,1,0,0.004358531907200813
1,0,0,0,0,0,1,1,1,1,1,1,0.004313171841204166
1,0,1,1,0,1,0,0,1,1,0,1,0.004307433497160673
1,0,0,1,1,1,0,1,0,1,0,1,0.00431519839912653
0,1,1,0,1,0,0,0,1,1,0,1,0.0011270679533481598
0,0,0,1,1,1,0,0,1,1,0,0,0.0007284502498805523
1,0,0,1,0,0,0,1,1,1,0,0,0.004375424701720476
0,1,0,1,1,1,0,0,0,1,1,1,0.0011213570833206177
0,1,1,0,1,1,0,1,1,1,0,0,0.0012042811140418053
1,1,0,0,0,1,0,1,1,1,0,0,0.004374471493065357
0,1,0,0,1,1,1,1,1,0,1,1,0.001335670705884695
0,1,0,1,0,1,1,0,0,0,0,0,0.0008325697854161263
0,1,1,1,0,0,0,0,1,1,1,0,0.001052924315445125
1,0,0,0,1,0,1,1,1,0,0,0,0.0042960988357663155
1,0,0,1,0,0,0,0,1,0,1,1,0.004337508697062731
0,1,1,1,0,1,1,0,0,0,1,1,0.001159907435066998
1,0,1,0,0,0,1,0,1,0,1,0,0.004323763772845268
1,1,0,0,1,0,0,1,0,1,1,0,0.004336661193519831
1,0,0,0,0,0,0,1,1,1,0,1,0.004317269194871187
0,1,0,1,0,0,1,0,0,1,1,1,0.0011273403652012348
0,0,0,1,0,1,0,0,0,1,1,0,0.0008510543266311288
0,1,1,0,1,0,1,1,1,1,0,1,0.0013122886884957552
0,0,0,0,0,0,1,0,1,0,0,1,0.0007099706563167274
1,1,1,0,1,1,1,1,1,0,0,0,0.004328973591327667
1,0,0,0,1,1,1,0,1,1,0,0,0.004289455711841583
0,1,1,1,0,0,1,1,1,1,0,0,0.0011938002426177263
0,0,1,1,1,1,0,0,0,0,1,0,0.0010311226360499859
0,1,0,0,0,0,1,1,1,0,0,0,0.0011061185505241156
0,1,0,1,0,0,1,0,0,1,1,0,0.0010878785979002714
0,0,1,0,0,1,0,0,0,0,1,0,0.0009152264101430774
1,0,0,1,1,0,0,1,1,0,0,0,0.004343765787780285
1,0,0,0,0,1,1,1,0,1,1,0,0.004334291908890009
0,1,0,1,0,0,0,0,1,1,1,1,0.001035589026287198
0,0,1,0,1,1,1,1,1,0,1,0,0.0012215198948979378
1,0,1,0,1,1,1,0,0,1,0,1,0.004270045552402735
0,0,1,0,1,0,0,0,1,0,1,1,0.0010757141280919313
0,1,1,0,1,1,0,1,1,0,0,0,0.001168460352346301
1,1,1,0,0,1,1,1,0,0,1,0,0.004343564156442881
1,0,0,1,1,0,1,1,1,0,1,1,0.004309786483645439
1,1,1,0,0,1,1,0,0,1,0,1,0.004303288646042347
1,1,0,1,0,0,0,0,0,0,1,1,0.004348957445472479
0,0,1,1,1,1,0,1,1,1,0,1,0.00097795226611197
1,1,1,0,0,0,0,1,1,0,1,0,0.004388661123812199
1,0,0,0,0,0,1,1,1,1,0,1,0.004297482315450907
1,0,0,0,0,1,0,1,0,1,1,0,0.004358071368187666
0,0,0,1,0,0,0,1,1,0,0,1,0.0007556084310635924
1,0,1,1,1,1,1,1,0,1,1,0,0.0043388837948441505
1,0,1,0,1,1,0,1,1,0,1,1,0.004305912181735039
0,1,0,1,1,1,0,0,0,0,0,1,0.0008685548091307282
0,1,0,0,0,0,0,1,1,0,0,0,0.0009460452129133046
1,1,0,1,0,0,0,0,0,1,1,0,0.004371881950646639
1,1,0,0,1,1,1,0,1,0,0,0,0.0043080453760921955
0,0,1,0,0,1,0,1,0,0,0,1,0.0007545935222879052
0,1,0,0,0,0,1,0,1,1,0,0,0.0010086714755743742
0,0,1,0,0,1,0,0,0,0,0,1,0.0005001819226890802
1,0,1,1,0,1,1,0,1,0,0,0,0.004329868592321873
1,1,1,0,1,0,0,1,1,1,0,0,0.0043419124558568
1,0,0,0,1,1,1,1,0,0,0,0,0.004274607636034489
0,1,1,0,0,1,1,0,0,0,0,0,0.0008441853569820523
0,0,1,0,0,1,0,0,1,1,1,0,0.0009236073819920421
1,1,0,1,1,0,1,0,0,1,1,1,0.004323051311075687
1,0,1,0,1,0,1,0,0,0,1,0,0.004300176165997982
0,1,0,0,0,1,1,1,0,1,1,0,0.0011946186423301697
1,1,1,1,1,1,0,0,1,0,1,1,0.004346475936472416
0,0,0,1,1,0,0,0,1,1,0,1,0.0007696502725593746
0,0,0,0,0,1,0,1,0,1,0,0,0.0005678556626662612
1,0,1,1,0,1,1,1,0,0,0,0,0.004336392506957054
1,0,1,0,1,0,1,0,0,1,1,1,0.004301206208765507
1,0,1,1,0,1,0,0,1,1,0,0,0.004337766207754612
1,0,0,1,0,0,0,0,1,1,1,1,0.004323066212236881
0,1,1,0,0,0,1,0,0,0,1,1,0.001150171970948577
0,1,0,0,1,0,0,0,0,0,1,0,0.0010388171067461371
1,1,1,1,1,1,1,0,1,1,0,0,0.004343661945313215
0,0,0,0,1,1,0,0,1,0,1,1,0.001000013086013496
0,1,0,1,1,1,1,0,1,1,0,1,0.0012161859776824713
0,0,0,0,1,1,1,0,0,1,1,1,0.0011329938424751163
1,0,1,1,0,1,0,1,0,0,1,1,0.004349363502115011
1,1,1,0,1,1,0,0,1,0,0,0,0.0043263970874249935
1,1,1,0,0,1,0,0,0,1,0,0,0.004328430630266666
1,0,1,1,0,0,0,0,0,1,1,0,0.004358014557510614
