/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,1,0,1,0,0,1,1,1,0,0,30.065160751342773
1,1,1,1,0,1,0,0,0,1,0,0,30.302902221679688
0,1,1,1,1,1,1,1,0,1,0,1,34.76176071166992
0,1,0,1,1,1,1,1,1,0,0,1,34.85358428955078
0,1,1,1,1,1,1,0,1,0,1,0,38.221839904785156
1,1,0,1,0,1,0,0,1,0,0,0,30.49587631225586
0,0,1,1,1,1,1,1,1,0,0,1,34.7357177734375
0,1,0,0,0,0,0,0,0,1,0,1,43.71501541137695
1,1,1,1,0,1,0,1,1,0,1,1,29.021770477294922
1,1,1,0,1,1,0,0,0,0,1,1,30.643081665039062
0,0,1,1,0,1,0,1,0,0,1,1,34.876564025878906
1,0,0,1,1,0,0,1,1,1,1,1,29.120147705078125
1,0,0,1,0,1,1,0,0,1,0,0,30.537078857421875
1,0,0,1,0,1,1,1,1,1,0,1,29.19663429260254
1,0,0,1,0,0,1,1,0,1,1,1,29.318674087524414
0,1,1,1,0,0,0,1,0,0,0,0,35.51765823364258
1,0,0,1,0,1,0,0,0,0,1,1,30.338085174560547
0,1,1,1,1,1,0,0,0,1,0,1,38.86449432373047
1,1,1,1,0,0,1,1,1,0,1,1,29.018478393554688
1,0,0,1,0,1,0,1,1,0,0,1,29.241878509521484
0,1,0,0,0,0,0,0,1,1,0,1,42.55467224121094
0,0,0,0,0,0,0,1,0,0,0,1,40.17849349975586
1,1,0,1,1,0,0,0,1,0,0,1,30.451099395751953
1,1,1,0,0,0,1,0,0,0,0,0,31.13125228881836
1,0,0,1,0,0,0,1,0,0,0,1,29.41730308532715
1,1,0,1,1,1,1,0,1,0,1,0,30.322134017944336
0,0,1,1,0,0,1,1,1,1,1,0,34.89870834350586
1,1,1,1,1,0,1,0,0,1,0,0,30.494571685791016
0,1,0,1,0,1,0,0,1,1,1,1,38.32626724243164
0,1,0,1,0,0,0,1,1,0,0,0,35.49140930175781
0,1,1,1,0,1,1,1,0,0,0,0,35.05939483642578
1,0,0,0,0,0,0,0,0,0,0,1,31.429004669189453
1,1,0,1,0,0,0,1,1,0,1,0,29.147268295288086
1,0,0,0,0,0,0,0,1,0,0,1,31.265056610107422
1,0,1,0,0,1,1,0,1,0,0,1,30.988239288330078
1,1,0,1,0,1,1,1,1,0,1,0,29.15057945251465
1,1,1,0,1,0,1,0,0,0,1,0,30.90744400024414
1,1,0,0,1,0,0,1,1,0,0,1,30.190105438232422
0,0,1,1,0,0,1,1,0,1,0,1,35.45741653442383
0,1,0,1,0,0,1,0,0,0,0,1,40.62949752807617
1,1,1,0,1,1,1,1,0,1,1,0,29.8533878326416
1,1,0,0,0,1,1,1,1,1,1,0,30.075515747070312
1,1,0,0,0,1,1,1,1,1,1,1,30.001667022705078
0,1,0,1,1,1,1,0,1,0,0,0,39.473670959472656
1,1,1,0,0,0,0,0,0,1,0,0,31.13045310974121
0,1,1,0,1,1,0,1,0,1,1,1,37.24025344848633
0,0,1,1,0,1,1,1,1,0,0,1,34.85614776611328
0,0,1,0,1,0,1,1,1,0,0,0,38.7706184387207
0,0,0,0,1,1,0,0,0,1,0,0,46.795860290527344
1,0,1,1,0,1,1,1,1,1,0,1,29.078311920166016
0,1,0,1,0,0,1,1,1,0,1,1,35.012569427490234
0,1,0,0,1,0,0,0,0,1,0,1,43.433467864990234
0,1,1,1,0,0,1,1,1,1,1,0,34.718467712402344
1,0,0,1,0,1,0,0,0,1,0,1,30.461624145507812
0,1,0,0,1,0,1,0,1,0,1,0,41.974884033203125
1,1,0,1,1,0,0,0,0,0,1,1,30.374088287353516
0,0,1,1,1,1,0,1,0,1,0,1,34.93219757080078
0,0,0,1,1,0,1,1,1,0,0,1,35.434654235839844
0,0,0,0,1,0,1,0,0,0,0,1,47.9521369934082
0,0,1,0,0,1,0,0,0,0,0,0,44.894195556640625
1,1,1,1,1,0,1,1,1,1,0,0,29.130664825439453
1,0,1,0,1,1,0,1,0,1,0,1,29.983530044555664
0,1,1,1,1,1,1,0,0,0,0,0,39.37971878051758
0,1,0,0,1,0,1,1,0,0,0,0,39.46680450439453
1,1,0,0,0,0,1,0,0,1,1,1,31.0062255859375
1,1,0,1,0,0,1,1,0,0,1,0,29.26761245727539
1,0,0,0,0,0,1,1,1,1,1,1,30.061141967773438
1,0,1,1,0,1,0,0,1,1,0,1,30.296375274658203
1,0,0,1,1,1,0,1,0,1,0,1,29.203418731689453
0,1,1,0,1,0,0,0,1,1,0,1,40.967044830322266
0,0,0,1,1,1,0,0,1,1,0,0,39.78946304321289
1,0,0,1,0,0,0,1,1,1,0,0,29.292461395263672
0,1,0,1,1,1,0,0,0,1,1,1,38.61721420288086
0,1,1,0,1,1,0,1,1,1,0,0,37.44631576538086
1,1,0,0,0,1,0,1,1,1,0,0,30.188091278076172
0,1,0,0,1,1,1,1,1,0,1,1,37.391212463378906
0,1,0,1,0,1,1,0,0,0,0,0,40.203102111816406
0,1,1,1,0,0,0,0,1,1,1,0,38.556175231933594
1,0,0,0,1,0,1,1,1,0,0,0,30.3039608001709
1,0,0,1,0,0,0,0,1,0,1,1,30.325489044189453
0,1,1,1,0,1,1,0,0,0,1,1,38.39458084106445
1,0,1,0,0,0,1,0,1,0,1,0,30.89727210998535
1,1,0,0,1,0,0,1,0,1,1,0,30.2318172454834
1,0,0,0,0,0,0,1,1,1,0,1,30.214675903320312
0,1,0,1,0,0,1,0,0,1,1,1,39.36354064941406
0,0,0,1,0,1,0,0,0,1,1,0,39.74288558959961
0,1,1,0,1,0,1,1,1,1,0,1,37.696311950683594
0,0,0,0,0,0,1,0,1,0,0,1,46.103187561035156
1,1,1,0,1,1,1,1,1,0,0,0,30.023895263671875
1,0,0,0,1,1,1,0,1,1,0,0,31.307697296142578
0,1,1,1,0,0,1,1,1,1,0,0,34.99370193481445
