block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
0,0,0,0,1,0,0,1,0,1,0,1,0.419081021816057,0.3450118356059759,0.3877274209871835
1,0,1,1,1,1,0,1,1,0,0,0,0.394021711779894,0.3286204805125203,0.37205273068577766
1,0,1,0,1,0,0,0,1,1,0,1,0.4031167140287527,0.33685611772544194,0.3727609636704813
0,0,0,1,1,0,1,0,0,0,1,0,0.4131021601334851,0.33501540122240686,0.37626656019861954
0,0,0,1,0,1,0,1,1,0,1,1,0.41524534367777544,0.340556714552446,0.37651044506943915
0,1,1,1,1,0,1,0,1,1,0,1,0.4167663352282855,0.3385031378144062,0.3703432685594345
0,1,0,0,1,0,0,0,1,1,1,1,0.4016597995549193,0.33342250771029247,0.37271602768536166
0,0,1,0,1,1,1,1,1,1,0,0,0.4080580294809468,0.3355694033076777,0.3756043908598791
1,0,1,0,1,0,0,0,0,1,0,0,0.4028878039112256,0.33593935680598036,0.3750446660805503
1,1,0,0,0,1,1,1,1,0,0,0,0.4070026541040605,0.3305009279525982,0.3642679755972936
1,1,1,0,0,1,0,0,0,1,1,0,0.3969530742719225,0.3295281100614952,0.3682310626115414
0,0,0,0,1,1,0,1,0,1,1,0,0.41381760269649687,0.33642476563473106,0.3780744721892745
1,0,1,1,1,0,0,0,1,0,0,1,0.4065349005697729,0.34118845761156374,0.38275532771823717
0,0,0,1,1,0,1,0,1,1,0,0,0.40809298151996976,0.3329933519907876,0.37330604756077096
0,1,0,1,1,1,1,1,0,0,1,0,0.39725286413519134,0.3264457540532554,0.36403337246780315
1,0,1,1,1,0,1,0,1,1,1,1,0.41903192878997103,0.34838631882646565,0.3751537670131786
1,1,0,1,0,0,1,0,0,0,1,1,0.4155906199089176,0.34636845774616026,0.382786904301462
1,0,0,1,1,1,1,1,0,0,1,1,0.407997991254589,0.3393207302926993,0.37820804621166765
1,1,1,1,0,0,0,1,1,0,0,0,0.392017698431683,0.32552084359765043,0.3632581974056663
0,0,1,1,1,0,1,1,0,0,0,1,0.41701422699284646,0.34339164237264497,0.3752326167472457
1,1,1,1,0,1,0,0,1,1,1,0,0.3988440593645522,0.3307239823910753,0.36890925798530744
1,1,0,1,1,1,1,1,1,1,1,0,0.4036243437035311,0.33243304178516786,0.365572972094624
1,0,1,1,1,0,0,1,0,0,1,0,0.3985846594055128,0.3331767819577899,0.37215369504294826
0,0,0,0,0,0,1,1,0,1,1,0,0.41377328388041096,0.338478805945228,0.37722102725197815
0,1,0,0,1,1,0,1,1,1,1,1,0.4101071272549859,0.34363715271753736,0.3802944513051172
0,1,0,1,0,1,0,1,1,0,0,1,0.40855559448371986,0.3400878634260724,0.37580362257713645
0,0,1,1,1,1,0,1,0,1,0,0,0.39448851929707973,0.3265865527214699,0.36687492558648693
0,1,1,0,0,0,0,0,1,0,1,0,0.4091791555897685,0.3327415393423622,0.3703024372720752
0,1,0,1,1,1,1,0,0,1,0,0,0.40237412311774823,0.3318894853990976,0.37062000162009917
0,1,1,1,1,1,1,1,1,0,0,1,0.40996534610293894,0.34121307504697473,0.37513376101026275
0,1,1,0,0,0,0,1,1,1,0,1,0.42374234597349203,0.3452719985088943,0.3762859686509281
1,0,0,1,1,1,1,0,1,1,1,0,0.4071909200736963,0.33493292230402816,0.3705355799195042
0,1,0,0,1,1,1,1,0,0,0,1,0.4135792580739642,0.3419259671112655,0.3775292860753881
0,0,0,1,0,0,0,0,1,1,0,1,0.4172628320961408,0.3406950390284358,0.3749420716731414
0,1,1,1,1,1,0,1,0,1,1,1,0.41887849485433587,0.3453850325862707,0.3862871839337519
1,0,1,1,0,0,0,1,1,1,1,0,0.4041592258881731,0.33612017509686354,0.3763834035766642
1,1,0,1,0,1,1,1,1,0,0,1,0.41017214608988894,0.340369530506642,0.3750029217461143
0,1,0,1,0,1,1,0,1,0,1,0,0.40936445158655954,0.3346241996751539,0.3748722314259332
1,0,1,0,0,1,0,1,0,1,1,1,0.40806056775904476,0.3370818033290026,0.3656993565873896
0,1,1,0,0,1,1,1,0,0,1,1,0.4188057632679162,0.34695836615640074,0.38301585265281146
0,0,0,1,0,1,1,1,0,1,0,1,0.41984218363025183,0.344634350190789,0.38399379066916184
1,0,1,1,1,1,1,1,1,1,1,1,0.4057459679966713,0.3384181710526172,0.37170815121838435
1,0,0,1,0,0,1,0,0,0,0,0,0.39739667018847125,0.32679367265991266,0.36022065548158166
0,0,0,1,0,0,0,1,0,1,1,0,0.40889029569151014,0.33469106778690666,0.37499160212987703
0,1,1,1,0,0,1,0,1,0,1,0,0.40551626173315036,0.33046068506409376,0.3709567109270114
1,1,1,0,1,0,0,1,0,1,0,0,0.39125174722077966,0.3266803582240977,0.36482191863000785
0,1,0,0,1,0,1,1,0,1,0,1,0.41243836524599464,0.3396481333059787,0.3791061167364315
0,0,0,0,0,0,0,0,0,0,1,0,0.41064039894203674,0.33613970984848157,0.3773851763013565
1,0,0,0,1,1,1,1,0,1,1,0,0.40013154990867505,0.3278998184597775,0.3537915626651055
