/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
0,0,0,1,0,0,0,0,1,1,0,0,224.1285858154297
1,0,0,0,0,0,0,1,0,1,0,0,319.08837890625
1,1,0,1,1,0,0,1,0,1,1,1,329.0433044433594
0,1,1,0,0,0,0,0,0,0,0,1,71.11510467529297
0,1,1,0,0,1,0,1,1,1,1,1,245.5638427734375
0,1,1,0,1,1,0,0,0,1,1,0,268.80010986328125
0,1,0,0,1,1,0,0,0,1,1,0,268.24896240234375
0,0,1,0,0,0,1,0,0,1,1,1,214.89340209960938
0,0,1,1,1,1,0,0,0,1,0,1,259.950439453125
0,0,1,1,1,0,0,1,1,0,1,0,244.4873046875
0,0,1,0,1,0,1,0,0,1,0,1,260.1561584472656
0,1,0,1,1,0,0,1,0,1,0,1,262.67718505859375
1,0,1,1,1,1,1,0,1,1,1,1,345.17852783203125
1,0,1,0,1,0,0,0,1,0,0,1,341.85498046875
0,0,0,0,0,0,0,0,0,1,1,1,214.12014770507812
0,0,0,0,0,0,0,1,0,0,1,0,114.69512939453125
1,1,0,1,1,0,1,0,1,0,1,0,345.0130615234375
1,0,1,0,1,0,0,0,1,0,1,0,345.6259765625
1,1,1,1,1,1,0,1,1,0,0,1,340.97857666015625
1,0,0,1,1,1,1,1,1,1,1,1,343.72314453125
1,0,0,1,1,1,1,0,1,0,1,0,345.4348449707031
1,0,1,1,0,0,1,1,1,1,1,0,323.2390441894531
1,0,0,0,0,0,0,0,0,1,1,1,324.71630859375
1,0,1,0,0,0,0,1,0,0,0,0,317.43585205078125
0,1,0,1,1,1,1,1,1,1,1,0,269.06805419921875
0,1,0,1,1,1,1,0,1,0,1,1,255.74801635742188
0,0,0,1,0,0,1,1,0,0,0,1,54.56208419799805
0,0,1,1,0,0,1,0,0,0,1,0,118.40159606933594
1,0,0,0,1,0,1,1,1,0,0,0,341.5361328125
1,1,1,0,1,0,1,1,1,1,1,1,344.26702880859375
0,0,0,0,1,0,0,1,1,0,0,1,251.780517578125
0,0,1,1,0,0,0,1,1,1,1,1,239.1202850341797
0,1,0,0,0,1,1,0,0,1,0,1,189.34243774414062
0,1,1,1,1,1,1,0,1,0,0,0,246.5309600830078
1,0,1,1,1,1,0,0,1,0,0,1,341.9479064941406
1,1,1,1,1,1,0,1,1,1,1,0,344.6851806640625
1,1,0,0,0,1,1,0,1,0,1,1,316.7586975097656
0,1,1,1,1,1,0,1,1,0,1,0,241.927490234375
0,1,1,0,1,0,1,1,1,0,0,1,253.3186798095703
1,0,0,1,0,0,0,0,0,1,0,0,319.57476806640625
0,0,0,1,1,1,0,0,1,1,0,0,276.01318359375
1,1,0,1,1,0,1,0,1,1,1,1,343.79974365234375
0,0,0,0,1,0,1,1,0,1,1,1,274.74951171875
0,1,1,0,0,1,0,1,1,0,1,1,214.90695190429688
0,1,1,1,1,1,0,1,1,0,0,1,253.56185913085938
1,1,1,0,1,0,1,0,1,1,1,1,344.39886474609375
0,1,0,0,0,1,1,0,1,1,1,1,244.4204559326172
1,1,1,1,0,1,1,0,0,1,1,1,325.02740478515625
1,1,1,1,1,0,0,1,1,0,1,1,345.8550720214844
0,1,0,1,1,1,1,1,1,1,0,1,281.06451416015625
0,1,0,0,0,0,1,0,1,1,0,0,229.728271484375
1,1,0,0,0,0,0,1,1,1,1,0,321.2184143066406
0,0,1,1,0,0,0,0,0,0,0,0,40.29310989379883
0,1,0,0,1,0,1,1,0,0,1,1,243.6173553466797
1,0,0,0,0,0,1,0,1,0,0,0,317.8901672363281
1,1,1,1,1,0,1,1,1,1,0,0,343.36480712890625
0,0,0,1,1,0,0,0,0,0,0,1,243.1475830078125
0,0,1,0,1,0,1,1,1,1,1,1,273.6710510253906
1,0,0,1,1,0,0,0,1,1,1,1,344.44610595703125
0,1,0,1,0,0,0,0,0,1,1,0,209.43606567382812
1,0,0,0,1,0,1,0,1,1,0,1,342.24200439453125
0,0,1,0,0,1,0,0,0,0,1,1,130.37266540527344
0,0,0,0,1,1,0,0,0,0,0,1,243.79464721679688
1,1,0,0,0,0,0,0,1,1,1,0,321.6460266113281
0,1,1,1,0,0,1,1,1,1,1,1,247.8777618408203
1,0,1,0,0,1,1,1,1,0,1,1,317.8923645019531
0,1,1,1,1,0,0,0,0,1,0,0,260.724609375
0,1,0,1,1,1,0,1,0,1,1,1,271.74139404296875
0,1,0,0,0,1,0,0,0,1,1,1,218.4569854736328
0,0,0,0,0,0,0,0,0,1,0,1,185.9741668701172
1,1,0,1,1,1,1,0,0,0,1,1,341.0452575683594
1,0,1,0,1,1,0,0,0,0,0,0,333.84033203125
1,1,1,1,0,1,1,0,0,0,1,1,319.7046203613281
1,0,0,0,1,0,0,1,0,0,1,0,339.6744079589844
1,1,1,0,1,1,1,1,1,1,1,0,344.13775634765625
1,0,1,0,0,0,1,1,0,0,0,0,317.43585205078125
1,1,1,0,1,1,1,0,0,0,1,1,340.99090576171875
1,1,1,1,1,0,1,1,1,1,1,0,344.6851806640625
0,1,1,0,1,1,0,1,1,1,0,0,277.82403564453125
0,1,1,0,1,1,0,1,1,1,1,0,270.46026611328125
1,0,0,1,1,1,1,1,1,0,0,1,341.6878662109375
0,1,1,1,1,1,0,1,0,0,0,0,244.0753936767578
0,0,1,0,1,1,1,0,1,1,0,0,275.6545104980469
1,0,0,1,1,1,1,1,1,1,1,0,344.4707946777344
0,0,0,0,0,1,0,0,0,0,1,1,127.697998046875
0,0,0,0,1,0,1,0,0,0,0,0,246.5199737548828
0,1,0,0,1,1,0,0,0,1,0,0,262.0609130859375
0,1,0,0,1,0,0,0,1,1,0,1,281.247802734375
1,1,0,0,0,0,0,0,0,0,0,0,317.7485656738281
0,1,0,0,0,0,0,0,0,0,0,0,51.9600830078125
0,1,1,0,0,0,0,0,0,1,0,0,176.8048095703125
0,1,1,1,0,0,0,0,0,0,0,0,65.6971664428711
0,0,1,1,0,1,1,1,0,0,0,0,45.049686431884766
0,0,0,1,0,1,1,1,0,0,1,0,112.73836517333984
0,1,0,1,1,0,1,1,0,0,1,0,238.2657928466797
0,1,1,0,0,0,1,0,0,0,0,1,71.11510467529297
0,0,1,1,1,1,1,1,1,0,0,1,251.5708465576172
1,1,1,1,1,0,0,1,0,1,0,0,333.7972717285156
1,0,1,0,0,1,0,0,0,0,0,1,319.1038513183594
0,1,0,0,0,0,0,0,0,0,1,0,122.36064147949219
1,0,0,1,1,1,0,1,1,1,0,0,341.62322998046875
1,1,0,1,1,1,1,0,1,1,1,1,343.79974365234375
0,1,1,1,1,1,1,1,1,0,1,1,255.8922576904297
0,1,1,1,0,1,0,0,0,0,0,1,73.88825988769531
0,0,0,1,0,0,0,0,0,0,1,0,113.69450378417969
0,0,0,1,0,1,0,0,1,0,1,1,202.5294189453125
0,1,1,0,1,1,0,1,0,1,0,0,259.92755126953125
0,0,0,0,1,1,0,0,0,1,1,1,275.11932373046875
1,0,0,1,0,0,0,1,1,1,1,0,322.3587341308594
1,0,0,0,1,0,1,1,1,0,0,1,341.8207092285156
1,0,0,1,0,0,1,0,1,0,1,1,317.8351745605469
1,0,1,1,0,1,1,1,1,1,0,0,317.2554016113281
1,0,1,1,1,0,1,1,0,1,1,0,326.75921630859375
0,0,0,1,1,0,0,0,0,0,0,0,246.11669921875
0,0,0,0,0,1,0,0,0,0,1,0,115.0440902709961
0,1,1,0,1,0,0,0,1,1,1,0,270.15081787109375
0,0,1,0,0,0,0,0,0,0,1,0,118.04496765136719
0,1,0,0,1,1,1,1,1,1,1,0,268.45037841796875
1,1,1,0,0,1,0,1,1,0,1,0,319.78369140625
1,1,0,1,1,0,1,0,1,1,1,0,344.4991149902344
1,0,0,0,0,0,0,0,0,0,1,0,320.2345275878906
1,1,1,0,1,0,1,0,1,1,0,1,343.87347412109375
0,1,1,1,1,1,1,1,1,1,1,0,271.77203369140625
1,1,0,1,0,1,0,0,0,1,0,1,318.71038818359375
0,1,1,0,0,1,1,1,1,1,1,1,245.5638427734375
1,0,0,0,0,1,1,1,0,1,1,1,324.69024658203125
1,1,1,1,1,0,0,1,1,1,1,1,344.5107727050781
1,0,0,0,1,0,0,1,0,1,1,1,329.70501708984375
1,0,1,1,0,0,0,0,0,0,0,0,318.2094421386719
1,0,0,0,0,1,1,1,0,0,0,1,319.4315185546875
0,1,1,0,1,1,1,1,1,0,1,0,240.12271118164062
0,0,0,0,0,0,1,1,1,0,1,1,203.9697723388672
