/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,0,0,0,1,0,1,0,0,0,1,0,281.9142150878906,1.6190145015716553
0,1,0,1,1,1,0,1,1,1,1,0,159.40904235839844,0.8892728686332703
1,0,1,1,1,0,1,0,0,1,1,0,286.9689636230469,1.6319957971572876
0,0,1,1,0,1,1,0,1,1,1,0,158.3970947265625,0.7810437679290771
0,0,1,1,1,1,1,1,1,0,1,1,96.60369873046875,0.677922785282135
1,0,1,1,1,0,0,1,0,1,0,1,293.9713134765625,1.631521224975586
1,1,0,1,0,1,1,0,0,1,0,1,293.3276672363281,1.6822731494903564
0,0,1,0,0,0,1,0,0,0,1,0,99.35421752929688,0.5193411707878113
0,0,1,1,1,1,1,1,0,1,1,1,154.29983520507812,0.8521574139595032
1,1,1,1,0,1,1,0,1,1,1,1,287.4425964355469,1.6606779098510742
1,0,0,0,1,0,0,0,0,0,1,0,281.9142150878906,1.5820791721343994
1,1,0,1,1,1,1,1,0,0,0,0,288.2351989746094,1.6746997833251953
0,1,1,0,0,0,1,1,0,0,0,0,41.37047576904297,0.7238761782646179
1,1,1,1,0,0,0,0,0,1,0,1,293.3276672363281,1.6698389053344727
0,1,0,1,0,1,0,0,0,1,0,1,128.82554626464844,0.722675621509552
0,1,0,1,0,1,1,1,1,1,0,0,141.93392944335938,0.9195920825004578
1,0,1,1,1,1,0,1,1,1,1,0,286.9689636230469,1.6477859020233154
0,1,1,1,1,0,0,0,0,1,0,0,141.92190551757812,0.747218906879425
1,0,0,1,0,1,1,1,0,1,1,0,287.0718994140625,1.6821880340576172
1,0,1,0,0,0,1,0,0,1,1,1,285.3498840332031,1.6566591262817383
1,1,0,0,1,0,0,0,1,1,1,0,286.45147705078125,1.65777587890625
0,1,0,1,0,0,0,1,0,1,0,0,141.93392944335938,0.8155375719070435
1,0,0,0,0,0,0,0,0,1,0,0,292.2275390625,1.5862828493118286
0,1,0,1,0,0,0,1,1,1,0,1,128.82554626464844,0.8147280812263489
0,0,0,0,1,0,1,1,1,0,0,0,22.542430877685547,0.5996927618980408
0,0,0,0,1,0,1,0,0,1,0,0,142.58602905273438,0.685606837272644
0,0,1,1,1,0,0,1,0,1,1,1,154.29983520507812,0.7779137492179871
1,1,1,0,1,0,1,0,0,0,0,0,288.2351989746094,1.6236674785614014
0,0,1,1,1,0,1,0,1,0,1,0,99.35421752929688,0.548967719078064
1,0,0,1,1,0,0,0,0,0,1,1,282.87860107421875,1.5992542505264282
1,0,0,1,1,1,1,0,0,1,0,1,293.9713134765625,1.6084060668945312
1,0,1,1,1,0,1,0,1,0,0,1,286.1168212890625,1.6024425029754639
1,1,1,0,0,0,1,0,0,1,0,0,294.243408203125,1.6489086151123047
1,0,1,0,1,0,0,1,1,1,0,0,291.98736572265625,1.6556527614593506
1,1,1,1,0,1,0,0,0,1,0,0,294.243408203125,1.6401876211166382
0,1,1,1,1,1,1,1,0,1,0,1,129.07785034179688,0.8861755132675171
0,1,0,1,1,1,1,1,1,0,0,1,70.41680908203125,0.7428430318832397
0,1,1,1,1,1,1,0,1,0,1,0,102.972900390625,0.7257806062698364
1,1,0,1,0,1,0,0,1,0,0,0,288.6578063964844,1.5936744213104248
0,0,1,1,1,1,1,1,1,0,0,1,53.27338790893555,0.6251049041748047
0,1,0,0,0,0,0,0,0,1,0,1,128.82554626464844,0.722675621509552
1,1,1,1,0,1,0,1,1,0,1,1,286.11517333984375,1.7189044952392578
1,1,1,0,1,1,0,0,0,0,1,1,285.44305419921875,1.6450793743133545
0,0,1,1,0,1,0,1,0,0,1,1,96.38780212402344,0.5556877851486206
1,0,0,1,1,0,0,1,1,1,1,1,285.3447265625,1.6661031246185303
1,0,0,1,0,1,1,0,0,1,0,0,292.2275390625,1.6064050197601318
1,0,0,1,0,1,1,1,1,1,0,1,293.87139892578125,1.6653766632080078
1,0,0,1,0,0,1,1,0,1,1,1,285.3498840332031,1.6964094638824463
0,1,1,1,0,0,0,1,0,0,0,0,41.53009033203125,0.6125573515892029
1,0,0,1,0,1,0,0,0,0,1,1,282.84027099609375,1.5992542505264282
0,1,1,1,1,1,0,0,0,1,0,1,129.07785034179688,0.722675621509552
1,1,1,1,0,0,1,1,1,0,1,1,286.11517333984375,1.7291109561920166
1,0,0,1,0,1,0,1,1,0,0,1,286.48223876953125,1.6184227466583252
0,1,0,0,0,0,0,0,1,1,0,1,128.82554626464844,0.7546719908714294
0,0,0,0,0,0,0,1,0,0,0,1,52.8997917175293,0.36313575506210327
1,1,0,1,1,0,0,0,1,0,0,1,288.77703857421875,1.6272315979003906
1,1,1,0,0,0,1,0,0,0,0,0,288.6578063964844,1.6236674785614014
1,0,0,1,0,0,0,1,0,0,0,1,286.48223876953125,1.6065073013305664
1,1,0,1,1,1,1,0,1,0,1,0,285.631591796875,1.6949474811553955
0,0,1,1,0,0,1,1,1,1,1,0,158.3970947265625,0.8407536745071411
1,1,1,1,1,0,1,0,0,1,0,0,293.94561767578125,1.6489086151123047
0,1,0,1,0,1,0,0,1,1,1,1,152.81851196289062,0.863900363445282
0,1,0,1,0,0,0,1,1,0,0,0,40.95368194580078,0.6303413510322571
0,1,1,1,0,1,1,1,0,0,0,0,41.53009033203125,0.7238761782646179
1,0,0,0,0,0,0,0,0,0,0,1,286.48223876953125,1.5500916242599487
1,1,0,1,0,0,0,1,1,0,1,0,285.88128662109375,1.6959340572357178
1,0,0,0,0,0,0,0,1,0,0,1,286.48223876953125,1.5682461261749268
1,0,1,0,0,1,1,0,1,0,0,1,286.48223876953125,1.6024425029754639
1,1,0,1,0,1,1,1,1,0,1,0,285.88128662109375,1.7352641820907593
1,1,1,0,1,0,1,0,0,0,1,0,285.631591796875,1.6766504049301147
1,1,0,0,1,0,0,1,1,0,0,1,288.77703857421875,1.665173888206482
0,0,1,1,0,0,1,1,0,1,0,1,126.9654312133789,0.7583745718002319
0,1,0,1,0,0,1,0,0,0,0,1,69.18614196777344,0.6627267599105835
1,1,1,0,1,1,1,1,0,1,1,0,286.45147705078125,1.700105905532837
1,1,0,0,0,1,1,1,1,1,1,0,286.44586181640625,1.6871238946914673
1,1,0,0,0,1,1,1,1,1,1,1,287.4425964355469,1.6903226375579834
0,1,0,1,1,1,1,0,1,0,0,0,42.96941375732422,0.6675616502761841
1,1,1,0,0,0,0,0,0,1,0,0,294.243408203125,1.6401876211166382
0,1,1,0,1,1,0,1,0,1,1,1,152.78359985351562,0.9205174446105957
