/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
1,1,0,1,1,1,1,1,0,0,0,0,32.85880661010742,15.268913269042969
0,1,1,0,0,0,1,1,0,0,0,0,42.248470306396484,20.868595123291016
1,1,1,1,0,0,0,0,0,1,0,1,31.841381072998047,16.11357307434082
0,1,0,1,0,1,0,0,0,1,0,1,38.49091339111328,22.481491088867188
0,1,0,1,0,1,1,1,1,1,0,0,38.44527053833008,19.027347564697266
1,0,1,1,1,1,0,1,1,1,1,0,32.46931457519531,16.44707679748535
0,1,1,1,1,0,0,0,0,1,0,0,37.35027313232422,22.4927921295166
1,0,0,1,0,1,1,1,0,1,1,0,32.936424255371094,15.773088455200195
1,0,1,0,0,0,1,0,0,1,1,1,32.77906036376953,16.173078536987305
1,1,0,0,1,0,0,0,1,1,1,0,32.65668869018555,16.23969078063965
0,1,0,1,0,0,0,1,0,1,0,0,38.54065704345703,21.10137367248535
1,0,0,0,0,0,0,0,0,1,0,0,32.787452697753906,16.837007522583008
0,1,0,1,0,0,0,1,1,1,0,1,38.58424377441406,20.82186508178711
0,0,0,0,1,0,1,1,1,0,0,0,57.22825241088867,22.84619140625
0,0,0,0,1,0,1,0,0,1,0,0,40.786521911621094,21.896465301513672
0,0,1,1,1,0,0,1,0,1,1,1,37.87133026123047,22.208879470825195
1,1,1,0,1,0,1,0,0,0,0,0,32.69993591308594,15.654025077819824
0,0,1,1,1,0,1,0,1,0,1,0,42.0235481262207,23.28792381286621
1,0,0,1,1,0,0,0,0,0,1,1,33.21484375,17.167110443115234
1,0,0,1,1,1,1,0,0,1,0,1,32.42782974243164,15.956666946411133
1,0,1,1,1,0,1,0,1,0,0,1,32.905113220214844,16.242517471313477
1,1,1,0,0,0,1,0,0,1,0,0,32.050018310546875,15.29401969909668
1,0,1,0,1,0,0,1,1,1,0,0,32.32263946533203,16.21712875366211
1,1,1,1,0,1,0,0,0,1,0,0,31.867483139038086,16.118671417236328
0,1,1,1,1,1,1,1,0,1,0,1,37.32414627075195,19.183317184448242
0,1,0,1,1,1,1,1,1,0,0,1,41.65652847290039,20.540449142456055
0,1,1,1,1,1,1,0,1,0,1,0,39.79069900512695,21.07198715209961
1,1,0,1,0,1,0,0,1,0,0,0,32.97510528564453,16.454010009765625
0,0,1,1,1,1,1,1,1,0,0,1,43.4752082824707,22.627185821533203
0,1,0,0,0,0,0,0,0,1,0,1,38.94398498535156,22.481491088867188
1,1,1,1,0,1,0,1,1,0,1,1,32.56870651245117,15.88525104522705
1,1,1,0,1,1,0,0,0,0,1,1,32.6286735534668,16.433313369750977
0,0,1,1,0,1,0,1,0,0,1,1,42.360965728759766,25.51052474975586
1,0,0,1,1,0,0,1,1,1,1,1,32.85707473754883,16.435699462890625
1,0,0,1,0,1,1,0,0,1,0,0,32.56185531616211,15.960821151733398
1,0,0,1,0,1,1,1,1,1,0,1,32.51133346557617,15.478726387023926
1,0,0,1,0,0,1,1,0,1,1,1,32.946632385253906,15.769027709960938
0,1,1,1,0,0,0,1,0,0,0,0,41.803565979003906,23.596532821655273
1,0,0,1,0,1,0,0,0,0,1,1,33.29021453857422,17.167110443115234
0,1,1,1,1,1,0,0,0,1,0,1,37.32414627075195,22.481491088867188
1,1,1,1,0,0,1,1,1,0,1,1,32.59267807006836,15.09472942352295
1,0,0,1,0,1,0,1,1,0,0,1,33.402793884277344,16.66079330444336
0,1,0,0,0,0,0,0,1,1,0,1,38.94398498535156,22.03427505493164
0,0,0,0,0,0,0,1,0,0,0,1,53.19728469848633,27.171283721923828
1,1,0,1,1,0,0,0,1,0,0,1,32.86524200439453,16.437053680419922
1,1,1,0,0,0,1,0,0,0,0,0,32.81366729736328,15.654025077819824
1,0,0,1,0,0,0,1,0,0,0,1,33.432281494140625,16.808000564575195
1,1,0,1,1,1,1,0,1,0,1,0,32.75121307373047,15.445009231567383
0,0,1,1,0,0,1,1,1,1,1,0,38.273216247558594,19.903751373291016
1,1,1,1,1,0,1,0,0,1,0,0,31.805150985717773,15.29401969909668
0,1,0,1,0,1,0,0,1,1,1,1,37.56434631347656,21.238548278808594
0,1,0,1,0,0,0,1,1,0,0,0,43.24732971191406,23.149913787841797
0,1,1,1,0,1,1,1,0,0,0,0,41.6075439453125,20.868595123291016
