/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0,output1
0,1,0,1,0,0,0,1,1,1,0,1,840.91162109375,77.2913818359375
0,0,0,0,1,0,1,1,1,0,0,0,189.7921142578125,59.17279815673828
0,0,0,0,1,0,1,0,0,1,0,0,780.6864013671875,69.72065734863281
0,0,1,1,1,0,0,1,0,1,1,1,935.3015747070312,68.42622375488281
1,1,1,0,1,0,1,0,0,0,0,0,1920.248046875,153.73948669433594
0,0,1,1,1,0,1,0,1,0,1,0,533.4432373046875,56.47827911376953
1,0,0,1,1,0,0,0,0,0,1,1,1872.6627197265625,139.3466339111328
1,0,0,1,1,1,1,0,0,1,0,1,1993.3818359375,150.47064208984375
1,0,1,1,1,0,1,0,1,0,0,1,1897.5078125,147.26170349121094
1,1,1,0,0,0,1,0,0,1,0,0,2020.4820556640625,158.5602264404297
1,0,1,0,1,0,0,1,1,1,0,0,1998.2252197265625,149.00311279296875
1,1,1,1,0,1,0,0,0,1,0,0,2036.291748046875,149.77061462402344
0,1,1,1,1,1,1,1,0,1,0,1,910.8919677734375,91.88955688476562
0,1,0,1,1,1,1,1,1,0,0,1,483.5852966308594,77.76597595214844
0,1,1,1,1,1,1,0,1,0,1,0,630.9660034179688,73.63493347167969
1,1,0,1,0,1,0,0,1,0,0,0,1901.3968505859375,145.5360870361328
0,0,1,1,1,1,1,1,1,0,0,1,383.09283447265625,60.78436279296875
0,1,0,0,0,0,0,0,0,1,0,1,825.787109375,66.28865814208984
1,1,1,1,0,1,0,1,1,0,1,1,1913.52734375,150.70230102539062
1,1,1,0,1,1,0,0,0,0,1,1,1908.005126953125,145.31480407714844
0,0,1,1,0,1,0,1,0,0,1,1,506.8059997558594,43.86035919189453
1,0,0,1,1,0,0,1,1,1,1,1,1912.686279296875,140.9380340576172
1,0,0,1,0,1,1,0,0,1,0,0,1987.302734375,151.1480712890625
1,0,0,1,0,1,1,1,1,1,0,1,1988.248046875,155.5161895751953
1,0,0,1,0,0,1,1,0,1,1,1,1904.8291015625,147.71310424804688
0,1,1,1,0,0,0,1,0,0,0,0,463.8263244628906,54.339515686035156
1,0,0,1,0,1,0,0,0,0,1,1,1865.3958740234375,139.3466339111328
0,1,1,1,1,1,0,0,0,1,0,1,910.8919677734375,66.28865814208984
1,1,1,1,0,0,1,1,1,0,1,1,1913.524169921875,159.95680236816406
1,0,0,1,0,1,0,1,1,0,0,1,1867.098388671875,143.442138671875
0,1,0,0,0,0,0,0,1,1,0,1,825.787109375,69.11764526367188
0,0,0,0,0,0,0,1,0,0,0,1,197.47686767578125,35.593345642089844
1,1,0,1,1,0,0,0,1,0,0,1,1908.208251953125,145.4227294921875
1,1,1,0,0,0,1,0,0,0,0,0,1910.2633056640625,153.73948669433594
1,0,0,1,0,0,0,1,0,0,0,1,1867.0972900390625,142.02822875976562
1,1,0,1,1,1,1,0,1,0,1,0,1927.3529052734375,155.87181091308594
0,0,1,1,0,0,1,1,1,1,1,0,906.2724609375,85.05082702636719
1,1,1,1,1,0,1,0,0,1,0,0,2041.910888671875,158.5602264404297
0,1,0,1,0,1,0,0,1,1,1,1,956.0245971679688,75.87858581542969
0,1,0,1,0,0,0,1,1,0,0,0,395.1523132324219,57.225929260253906
0,1,1,1,0,1,1,1,0,0,0,0,463.9102478027344,74.99422454833984
1,0,0,0,0,0,0,0,0,0,0,1,1853.5357666015625,137.97134399414062
1,1,0,1,0,0,0,1,1,0,1,0,1918.9547119140625,150.8154296875
1,0,0,0,0,0,0,0,1,0,0,1,1853.5357666015625,139.58102416992188
1,0,1,0,0,1,1,0,1,0,0,1,1873.5823974609375,147.26170349121094
1,1,0,1,0,1,1,1,1,0,1,0,1918.9566650390625,160.03192138671875
1,1,1,0,1,0,1,0,0,0,1,0,1935.0933837890625,154.97427368164062
1,1,0,0,1,0,0,1,1,0,0,1,1896.4603271484375,149.48016357421875
0,0,1,1,0,0,1,1,0,1,0,1,787.6262817382812,77.76897430419922
0,1,0,1,0,0,1,0,0,0,0,1,441.47943115234375,67.1098861694336
1,1,1,0,1,1,1,1,0,1,1,0,1942.62890625,155.89666748046875
1,1,0,0,0,1,1,1,1,1,1,0,1913.4898681640625,156.59671020507812
1,1,0,0,0,1,1,1,1,1,1,1,1909.8912353515625,156.42318725585938
0,1,0,1,1,1,1,0,1,0,0,0,442.9701232910156,67.7010726928711
1,1,1,0,0,0,0,0,0,1,0,0,2020.4820556640625,149.77061462402344
0,1,1,0,1,1,0,1,0,1,1,1,1000.4182739257812,81.3092269897461
0,0,1,1,0,1,1,1,1,0,0,1,333.24835205078125,60.78436279296875
