/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
0,0,0,0,1,1,0,0,0,1,0,0,134150.71875
1,0,1,1,0,1,1,1,1,1,0,1,224515.546875
0,1,0,1,0,0,1,1,1,0,1,1,100811.234375
0,1,0,0,1,0,0,0,0,1,0,1,136262.078125
0,1,1,1,0,0,1,1,1,1,1,0,129857.359375
1,0,0,1,0,1,0,0,0,1,0,1,209976.84375
0,1,0,0,1,0,1,0,1,0,1,0,120801.0
1,1,0,1,1,0,0,0,0,0,1,1,205726.84375
0,0,1,1,1,1,0,1,0,1,0,1,145100.90625
0,0,0,1,1,0,1,1,1,0,0,1,123033.5625
0,0,0,0,1,0,1,0,0,0,0,1,118823.7734375
0,0,1,0,0,1,0,0,0,0,0,0,36806.23046875
1,1,1,1,1,0,1,1,1,1,0,0,233454.40625
1,0,1,0,1,1,0,1,0,1,0,1,219082.375
0,1,1,1,1,1,1,0,0,0,0,0,130584.765625
0,1,0,0,1,0,1,1,0,0,0,0,123931.6640625
1,1,0,0,0,0,1,0,0,1,1,1,217965.5
1,1,0,1,0,0,1,1,0,0,1,0,202191.828125
1,0,0,0,0,0,1,1,1,1,1,1,224674.078125
1,0,1,1,0,1,0,0,1,1,0,1,226855.96875
1,0,0,1,1,1,0,1,0,1,0,1,215320.34375
0,1,1,0,1,0,0,0,1,1,0,1,155104.984375
0,0,0,1,1,1,0,0,1,1,0,0,148392.578125
1,0,0,1,0,0,0,1,1,1,0,0,220039.46875
0,1,0,1,1,1,0,0,0,1,1,1,147560.734375
0,1,1,0,1,1,0,1,1,1,0,0,159223.765625
1,1,0,0,0,1,0,1,1,1,0,0,225629.953125
0,1,0,0,1,1,1,1,1,0,1,1,128129.5
0,1,0,1,0,1,1,0,0,0,0,0,46731.6796875
0,1,1,1,0,0,0,0,1,1,1,0,130437.078125
1,0,0,0,1,0,1,1,1,0,0,0,218171.46875
1,0,0,1,0,0,0,0,1,0,1,1,217417.953125
0,1,1,1,0,1,1,0,0,0,1,1,73330.625
1,0,1,0,0,0,1,0,1,0,1,0,213834.953125
1,1,0,0,1,0,0,1,0,1,1,0,216066.203125
1,0,0,0,0,0,0,1,1,1,0,1,222030.453125
0,1,0,1,0,0,1,0,0,1,1,1,102145.984375
