block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,map50,map50_95,map75
1,1,0,0,0,1,1,0,0,0,0,1,0.3476188018787158,0.2781521183070309,0.3023352315230635
0,0,0,0,0,0,1,0,0,1,0,1,0.3578717966018776,0.2822040126695013,0.30817818084777027
1,1,0,0,1,1,0,0,1,1,1,0,0.3601677176475414,0.2860770504479423,0.31279479319860526
1,0,0,0,0,0,1,1,1,0,0,1,0.33841225328199,0.26863108704745503,0.2888725773785527
1,1,1,1,0,1,0,1,0,0,1,0,0.34551524403059614,0.27622499336436435,0.2975942890810567
1,1,1,0,1,0,0,1,0,1,0,1,0.3439557840048622,0.270243969535773,0.2933637812300947
1,0,1,0,1,1,0,1,0,1,0,1,0.339680706334962,0.2672640405136808,0.2885084487045714
0,0,1,0,1,0,0,1,0,0,1,1,0.3581667188757177,0.280812667620413,0.30536144102010726
1,1,1,0,0,0,0,1,0,0,1,1,0.3436579950486665,0.2728147940389613,0.29441393542443284
0,1,0,0,0,1,0,1,1,1,1,1,0.35587924894641426,0.2781665559283658,0.2982394592590553
0,0,0,0,0,0,0,0,1,1,1,1,0.35674529707243063,0.28199175278648453,0.3071924103818868
1,0,0,0,1,1,0,0,1,0,0,1,0.3490828137537825,0.27821799209288156,0.30773613752572054
0,0,1,0,0,0,1,1,1,0,0,1,0.3548773010751731,0.277703592151484,0.2981858733114394
0,0,0,0,1,0,0,1,0,0,1,0,0.3669725443205562,0.2892315514180945,0.31595624991547566
0,1,1,0,0,1,0,0,1,1,1,1,0.3523954453485277,0.28018534239362325,0.30473382214667083
1,1,0,0,1,1,1,1,1,1,0,1,0.3466605846156598,0.2712881197937985,0.2931433755637015
0,1,0,0,0,1,1,1,1,0,1,1,0.357065732903902,0.2796186317388964,0.29907273289249453
1,0,0,1,1,1,1,0,1,1,1,1,0.34507037936775126,0.27535599591624804,0.3023211907524925
1,1,1,0,0,0,1,0,0,0,1,0,0.34941390374152426,0.280376235901241,0.30145361189511866
0,0,0,1,0,1,1,1,0,1,1,1,0.36297662930219143,0.28171388829989086,0.3051578205542008
0,0,1,0,1,0,1,0,0,0,1,1,0.3614747461763252,0.28405537092020194,0.3153084617635981
0,1,1,1,0,1,1,0,1,1,0,1,0.35451076498664424,0.2805396440615114,0.30720943815560675
1,0,1,1,1,0,1,1,1,1,1,1,0.3452181035464464,0.26954063557146857,0.29475431561919785
1,0,1,1,0,0,1,0,0,0,0,1,0.33467023809150487,0.2690001296472506,0.2922703669528858
0,1,0,0,1,0,1,0,0,1,1,1,0.36898824502245836,0.28947967842786265,0.32071541122664715
0,1,1,0,0,0,1,0,0,0,1,0,0.35866414654783885,0.28629964396835983,0.310431316912562
0,0,1,1,0,0,0,1,1,1,1,0,0.3612490757123404,0.28281091200672354,0.30213739906157794
1,0,1,0,1,1,0,0,1,1,1,1,0.33871682257151425,0.26945308287660846,0.2963114245537249
1,0,1,0,0,0,1,1,1,0,0,1,0.33544977863651065,0.2680403886109438,0.28504667296945163
1,0,1,0,0,1,1,0,1,0,1,0,0.3390290719708977,0.27544844628217435,0.29780085014311325
0,1,1,0,1,0,0,1,1,0,1,1,0.3584189843675865,0.2821601647273039,0.30187625902228227
0,1,1,0,1,1,1,1,0,0,1,0,0.35978859247430944,0.28421945752908906,0.3076622415395633
1,0,1,0,0,0,1,0,1,0,0,0,0.3355210002497895,0.271710870083967,0.2935355042532405
1,0,0,1,1,0,1,1,0,1,1,1,0.3446105158962689,0.27150797088532297,0.29487422018121545
0,1,1,0,1,1,1,0,1,0,1,0,0.3537112015640637,0.28143189404150387,0.30709717511897516
0,0,0,0,1,0,0,1,1,1,0,0,0.36214628515229996,0.2836756080739529,0.30746986523208325
1,1,0,1,1,0,0,1,0,0,0,1,0.35281889083652695,0.27579368214706285,0.29854223378359224
1,0,0,1,0,0,0,1,0,0,0,0,0.3410815604678525,0.2715863329625281,0.2919856516597942
1,0,1,1,0,0,1,1,1,0,0,1,0.33853536756978353,0.26816711274043004,0.28880882461012286
