/model.1/conv/Conv,/model.13/cv1/conv/Conv,/model.16/cv1/conv/Conv,/model.16/cv2/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.20/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,output0
1,0,0,0,0,0,0,1,0,1,0,0,30.48683738708496
1,1,0,1,1,0,0,1,0,1,1,1,29.224651336669922
0,1,1,0,0,0,0,0,0,0,0,1,42.149696350097656
0,1,1,0,0,1,0,1,1,1,1,1,36.88637924194336
0,1,1,0,1,1,0,0,0,1,1,0,40.349365234375
0,1,0,0,1,1,0,0,0,1,1,0,41.52693176269531
0,0,1,0,0,0,1,0,0,1,1,1,42.19849395751953
0,0,1,1,1,1,0,0,0,1,0,1,39.42890930175781
0,0,1,1,1,0,0,1,1,0,1,0,35.120506286621094
0,0,1,0,1,0,1,0,0,1,0,1,43.716041564941406
0,1,0,1,1,0,0,1,0,1,0,1,35.374961853027344
1,0,1,1,1,1,1,0,1,1,1,1,30.214496612548828
1,0,1,0,1,0,0,0,1,0,0,1,30.968042373657227
0,0,0,0,0,0,0,0,0,1,1,1,43.80231475830078
0,0,0,0,0,0,0,1,0,0,1,0,39.955589294433594
1,1,0,1,1,0,1,0,1,0,1,0,30.252859115600586
1,0,1,0,1,0,0,0,1,0,1,0,30.875534057617188
1,1,1,1,1,1,0,1,1,0,0,1,29.062490463256836
1,0,0,1,1,1,1,1,1,1,1,1,29.16998291015625
1,0,0,1,1,1,1,0,1,0,1,0,30.469934463500977
1,0,1,1,0,0,1,1,1,1,1,0,29.095956802368164
1,0,0,0,0,0,0,0,0,1,1,1,31.199222564697266
1,0,1,0,0,0,0,1,0,0,0,0,30.269702911376953
0,1,0,1,1,1,1,1,1,1,1,0,34.64817810058594
0,1,0,1,1,1,1,0,1,0,1,1,38.39943313598633
0,0,0,1,0,0,1,1,0,0,0,1,35.83408737182617
0,0,1,1,0,0,1,0,0,0,1,0,40.46416473388672
1,0,0,0,1,0,1,1,1,0,0,0,30.239154815673828
1,1,1,0,1,0,1,1,1,1,1,1,29.84365463256836
0,0,0,0,1,0,0,1,1,0,0,1,39.33536148071289
0,0,1,1,0,0,0,1,1,1,1,1,34.896018981933594
0,1,0,0,0,1,1,0,0,1,0,1,42.41720199584961
0,1,1,1,1,1,1,0,1,0,0,0,38.843116760253906
1,0,1,1,1,1,0,0,1,0,0,1,30.31781578063965
1,1,1,1,1,1,0,1,1,1,1,0,29.095184326171875
1,1,0,0,0,1,1,0,1,0,1,1,30.882396697998047
0,1,1,1,1,1,0,1,1,0,1,0,34.56691360473633
0,1,1,0,1,0,1,1,1,0,0,1,37.95317840576172
